"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"71","$2023-07-21 06:26:11",7714135,7055028,10.2336001,2.466,46.94133,24.39918,100.7,7.97,52.31298,4.97183,2023-07-21 06:26:11
"72","$2023-07-21 06:26:13",7713370,7054312,10.2340293,1.2452,46.98406,24.4419,100.7,7.97,52.31298,4.97183,2023-07-21 06:26:13
"73","$2023-07-21 06:26:15",7712509,7053569,10.2342594,0.6719,46.98711,24.45792,100.4,7.97,52.31298,4.97183,2023-07-21 06:26:15
"74","$2023-07-21 06:26:17",7711706,7052826,10.2345014,0.7015,46.95507,24.41253,100.7,7.97,52.31298,4.97183,2023-07-21 06:26:17
"75","$2023-07-21 06:26:19",7710889,7052094,10.2347875,0.8203,46.96117,24.45792,100.4,7.97,52.31295,4.97183,2023-07-21 06:26:19
"76","$2023-07-21 06:26:21",7709953,7051275,10.2350283,0.7063,46.94744,24.45792,100.4,7.97,52.31295,4.97153,2023-07-21 06:26:21
"77","$2023-07-21 06:26:23",7709248,7050603,10.2352929,0.7696,46.90166,24.48463,100.4,7.97,52.31295,4.97153,2023-07-21 06:26:23
"78","$2023-07-21 06:26:25",7708426,7049870,10.2356231,0.9625,46.84978,24.47128,100.4,7.97,52.31295,4.97153,2023-07-21 06:26:25
"79","$2023-07-21 06:26:27",7707618,7049174,10.2359521,0.9594,46.87877,24.50065,100.4,7.97,52.31295,4.97153,2023-07-21 06:26:27
"80","$2023-07-21 06:26:29",7706784,7048433,10.2361166,0.4847,46.82689,24.50065,100.4,7.97,52.31295,4.97153,2023-07-21 06:26:29
"81","$2023-07-21 06:26:31",7705987,7047691,10.2362597,0.4175,46.85588,24.52735,100.7,7.97,52.31288,4.97109,2023-07-21 06:26:31
"82","$2023-07-21 06:26:33",7705173,7046946,10.2366221,1.0561,46.84062,24.514,100.4,7.97,52.31288,4.97109,2023-07-21 06:26:33
"83","$2023-07-21 06:26:35",7704424,7046297,10.2370727,1.3186,46.82231,24.5407,100.4,7.97,52.31288,4.97109,2023-07-21 06:26:35
"84","$2023-07-21 06:26:37",7703630,7045598,10.2373588,0.8377,46.87877,24.514,100.4,7.97,52.31288,4.97109,2023-07-21 06:26:37
"85","$2023-07-21 06:26:39",7702866,7044850,10.2376008,0.706,46.85894,24.55673,100.4,7.97,52.31288,4.97109,2023-07-21 06:26:39
"86","$2023-07-21 06:26:41",7702070,7044116,10.2380729,1.3881,46.82384,24.57008,100.4,7.97,52.31288,4.97107,2023-07-21 06:26:41
"87","$2023-07-21 06:26:43",7701297,7043440,10.2386665,1.7393,46.83605,24.57008,100.4,7.97,52.31288,4.97107,2023-07-21 06:26:43
"88","$2023-07-21 06:26:45",7700451,7042726,10.2389634,0.864,46.83605,24.57008,100.4,7.97,52.31288,4.97107,2023-07-21 06:26:45
