"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"76","$2023-07-17 06:32:07",7115636,6745600,7.0085912,0.865,37.82712,31.70519,100.7,8.07,51.92265,4.481,2023-07-17 06:32:07
"77","$2023-07-17 06:32:09",7115746,6745680,7.0088072,0.6302,37.90036,31.70519,100.7,8.07,51.92265,4.481,2023-07-17 06:32:09
"78","$2023-07-17 06:32:11",7115830,6745737,7.0090113,0.5928,37.89731,31.69184,100.7,8.07,51.92265,4.481,2023-07-17 06:32:11
"79","$2023-07-17 06:32:13",7115884,6745812,7.0091248,0.3298,37.95529,31.70519,100.7,8.07,51.92264,4.48099,2023-07-17 06:32:13
"80","$2023-07-17 06:32:21",7116264,6746138,7.0089545,0.1982,37.99344,31.67849,100.7,8.07,51.92264,4.48099,2023-07-17 06:32:21
"81","$2023-07-17 06:32:24",7116357,6746216,7.0090795,0.3643,37.99649,31.69184,100.7,8.07,51.92264,4.48099,2023-07-17 06:32:24
"82","$2023-07-17 06:32:26",7116458,6746311,7.0092158,0.3999,38.01022,31.69184,100.7,8.07,51.92277,4.48101,2023-07-17 06:32:26
"83","$2023-07-17 06:32:42",7117245,6747047,7.0086141,0.1316,37.69894,31.67849,100.7,8.07,51.92277,4.48101,2023-07-17 06:32:42
"84","$2023-07-17 06:32:44",7117341,6747133,7.0087047,0.2638,37.65927,31.69184,100.7,8.07,51.92277,4.48101,2023-07-17 06:32:44
"85","$2023-07-17 06:32:46",7117420,6747166,7.0089092,0.5939,37.71267,31.66514,100.7,8.07,51.92277,4.481,2023-07-17 06:32:46
"86","$2023-07-17 06:32:48",7117506,6747247,7.0091357,0.6571,37.72641,31.67849,100.7,8.07,51.92277,4.481,2023-07-17 06:32:48
"87","$2023-07-17 06:32:50",7117619,6747340,7.0093517,0.6253,37.78286,31.66514,101,8.07,51.92277,4.481,2023-07-17 06:32:50
"88","$2023-07-17 06:32:52",7117704,6747445,7.009397,0.1316,37.81033,31.67849,100.7,8.07,51.92277,4.481,2023-07-17 06:32:52
"89","$2023-07-17 06:32:58",7118012,6747696,7.0093741,0.2298,37.78286,31.66514,100.7,8.07,0.03517,0.01667,2023-07-17 06:32:58
"90","$2023-07-17 06:33:00",7118127,6747788,7.0095105,0.3965,37.80881,31.66514,100.7,8.07,0.03517,0.01667,2023-07-17 06:33:00
"91","$2023-07-17 06:33:02",7118214,6747844,7.0096583,0.4324,37.75387,31.66514,100.7,8.07,0.03517,0.01667,2023-07-17 06:33:02
"92","$2023-07-17 06:33:04",7118306,6747926,7.0098395,0.5292,37.74014,31.66514,100.7,8.07,0.03517,0.01667,2023-07-17 06:33:04
"93","$2023-07-17 06:33:06",7118403,6747996,7.0100212,0.5282,37.78286,31.66514,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:06
"94","$2023-07-17 06:33:08",7118501,6748077,7.0101914,0.4954,37.80881,31.64912,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:08
"95","$2023-07-17 06:33:10",7118599,6748164,7.0103278,0.3984,37.80881,31.66514,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:10
"96","$2023-07-17 06:33:12",7118681,6748228,7.0104184,0.2629,37.80881,31.64912,101,8.07,51.92282,4.48094,2023-07-17 06:33:12
"97","$2023-07-17 06:33:14",7118789,6748324,7.010498,0.2315,37.85153,31.66514,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:14
"98","$2023-07-17 06:33:20",7119032,6748524,7.0105205,0.0984,37.9202,31.63577,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:20
"99","$2023-07-17 06:33:22",7119130,6748588,7.0107136,0.5637,37.95071,31.66514,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:22
"100","$2023-07-17 06:33:24",7119221,6748675,7.0109291,0.6289,38.05142,31.66514,101,8.07,51.92282,4.48094,2023-07-17 06:33:24
"101","$2023-07-17 06:33:26",7119345,6748746,7.0111566,0.6337,38.1033,31.64912,100.7,8.07,51.92282,4.48094,2023-07-17 06:33:26
"102","$2023-07-17 06:33:28",7119451,6748844,7.0113945,0.6947,38.07584,31.64912,100.7,8.07,51.92261,4.481,2023-07-17 06:33:28
"103","$2023-07-17 06:33:30",7119530,6748913,7.011622,0.6596,38.11703,31.64912,100.7,8.07,51.92261,4.481,2023-07-17 06:33:30
"104","$2023-07-17 06:33:32",7119619,6748950,7.0117922,0.4949,38.1445,31.63577,100.7,8.07,51.92261,4.481,2023-07-17 06:33:32
"105","$2023-07-17 06:33:34",7119689,6748982,7.0121098,0.9218,38.14755,31.64912,100.7,8.07,51.92261,4.481,2023-07-17 06:33:34
"106","$2023-07-17 06:33:36",7119781,6749088,7.0124388,0.9544,38.25742,31.63577,100.7,8.07,51.92261,4.481,2023-07-17 06:33:36
"107","$2023-07-17 06:33:38",7119869,6749187,7.012507,0.1983,38.36881,31.63577,100.7,8.07,51.9226,4.481,2023-07-17 06:33:38
"108","$2023-07-17 06:33:50",7120667,6749907,7.0121779,0.2326,37.81949,31.63577,100.7,8.07,51.92256,4.48098,2023-07-17 06:33:50
"109","$2023-07-17 06:33:52",7120782,6750011,7.0122685,0.2633,37.76455,31.63577,100.7,8.07,51.92256,4.48098,2023-07-17 06:33:52
"110","$2023-07-17 06:33:56",7120987,6750180,7.0122685,0.0666,37.77829,31.62241,100.7,8.07,51.92256,4.48098,2023-07-17 06:33:56
"111","$2023-07-17 06:33:58",7121088,6750249,7.0124049,0.3961,37.7493,31.62241,100.7,8.07,51.92256,4.48098,2023-07-17 06:33:58
"112","$2023-07-17 06:34:00",7121205,6750334,7.0126772,0.7899,37.73556,31.62241,100.7,8.07,51.92256,4.48098,2023-07-17 06:34:00
"113","$2023-07-17 06:34:02",7121323,6750441,7.0129495,0.7917,37.7493,31.62241,100.7,8.07,51.92256,4.48098,2023-07-17 06:34:02
"114","$2023-07-17 06:34:04",7121388,6750493,7.0131087,0.4624,37.76303,31.60906,100.7,8.07,51.92256,4.48098,2023-07-17 06:34:04
"115","$2023-07-17 06:34:06",7121480,6750584,7.0131311,0.0651,37.79202,31.62241,100.7,8.07,51.92256,4.48098,2023-07-17 06:34:06
"116","$2023-07-17 06:34:08",7121574,6750651,7.0131426,0.0329,37.86069,31.60906,100.7,8.07,51.92262,4.48094,2023-07-17 06:34:08
"117","$2023-07-17 06:34:10",7121679,6750761,7.0131769,0.1004,37.87747,31.62241,100.7,8.07,51.92262,4.48094,2023-07-17 06:34:10
"118","$2023-07-17 06:34:12",7121796,6750840,7.0132332,0.1637,37.94308,31.60906,101,8.07,51.92262,4.48094,2023-07-17 06:34:12
"119","$2023-07-17 06:34:14",7121892,6750959,7.0132561,0.0665,37.95682,31.59304,100.7,8.07,51.92262,4.48094,2023-07-17 06:34:14
"120","$2023-07-17 06:34:20",7122183,6751182,7.0131311,0.1316,38.03006,31.60906,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:20
"121","$2023-07-17 06:34:22",7122297,6751275,7.0133471,0.6198,37.98428,31.59304,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:22
"122","$2023-07-17 06:34:24",7122420,6751366,7.0135736,0.6573,38.0148,31.59304,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:24
"123","$2023-07-17 06:34:26",7122519,6751470,7.0136986,0.3629,38.0148,31.59304,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:26
"124","$2023-07-17 06:34:34",7122954,6751863,7.0136075,0.1982,38.0972,31.59304,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:34
"125","$2023-07-17 06:34:36",7123063,6751960,7.0136986,0.2643,38.056,31.57969,100.7,8.07,51.92266,4.4809,2023-07-17 06:34:36
"126","$2023-07-17 06:34:44",7123484,6752340,7.0136533,0.2985,37.98428,31.57969,100.7,8.07,51.92256,4.48076,2023-07-17 06:34:44
"127","$2023-07-17 06:34:46",7123591,6752442,7.0136986,0.1321,37.90189,31.59304,100.7,8.07,51.92256,4.48076,2023-07-17 06:34:46
"128","$2023-07-17 06:34:52",7123926,6752719,7.01371,0.264,37.90189,31.59304,100.7,8.07,51.92255,4.48077,2023-07-17 06:34:52
"129","$2023-07-17 06:34:54",7124011,6752774,7.013835,0.3623,37.85611,31.56634,101,8.07,51.92255,4.48077,2023-07-17 06:34:54
"130","$2023-07-17 06:34:56",7124089,6752841,7.0139599,0.3612,37.90189,31.59304,100.7,8.07,51.92255,4.48077,2023-07-17 06:34:56
"131","$2023-07-17 06:34:58",7124181,6752915,7.0140958,0.397,37.92935,31.57969,100.7,8.07,51.92255,4.48077,2023-07-17 06:34:58
"132","$2023-07-17 06:35:00",7124260,6752998,7.0141754,0.2323,38.02853,31.57969,100.7,8.07,51.92255,4.48077,2023-07-17 06:35:00
"133","$2023-07-17 06:35:02",7124390,6753111,7.0141869,0.0335,38.06973,31.57969,100.7,8.07,51.92255,4.48077,2023-07-17 06:35:02
"134","$2023-07-17 06:35:04",7124507,6753190,7.0142207,0.0992,38.00107,31.59304,100.7,8.07,51.92255,4.48077,2023-07-17 06:35:04
"135","$2023-07-17 06:35:06",7124587,6753263,7.0143795,0.463,38.02853,31.59304,100.7,8.07,51.92255,4.48077,2023-07-17 06:35:06
"136","$2023-07-17 06:35:08",7124645,6753308,7.0145383,0.4619,38.01175,31.56634,100.7,8.07,51.92255,4.48077,2023-07-17 06:35:08
"137","$2023-07-17 06:35:10",7124765,6753399,7.0146747,0.3979,38.02853,31.57969,100.7,8.07,51.92253,4.48082,2023-07-17 06:35:10
"138","$2023-07-17 06:35:12",7124899,6753494,7.0148339,0.4662,38.11093,31.57969,100.7,8.07,51.92253,4.48082,2023-07-17 06:35:12
